date,company,notice_text,url,title,benefit_amt,benefit_type,cond_type,cond_plan_price,summary
2026-09-12 19:43:20,SKT 다이렉트,+ 프로모션 캐시백 1만 2천 원,https://shop.tworld.co.kr/nf/index_nf_yp_plan.html?exhibitionId=P00000513,"제휴카드 혜택 모음매월 통신비 부담, 이렇게 줄여보세요!",0,NO_BENEFIT,ETC,0,
2026-09-12 19:43:20,SKT 다이렉트,24개월 할부 시 최대 55만 2천 원,https://shop.tworld.co.kr/nf/index_nf_yp_plan.html?exhibitionId=P00000513,"제휴카드 혜택 모음매월 통신비 부담, 이렇게 줄여보세요!",0,NO_BENEFIT,ETC,0,
2026-09-12 19:43:20,SKT 다이렉트,24개월 할부 시 최대 52만 8천 원,https://shop.tworld.co.kr/nf/index_nf_yp_plan.html?exhibitionId=P00000513,"제휴카드 혜택 모음매월 통신비 부담, 이렇게 줄여보세요!",0,NO_BENEFIT,ETC,0,
2026-09-12 19:43:20,SKT 다이렉트,36개월 할부 시 최대 79만 2천 원,https://shop.tworld.co.kr/nf/index_nf_yp_plan.html?exhibitionId=P00000513,"제휴카드 혜택 모음매월 통신비 부담, 이렇게 줄여보세요!",0,NO_BENEFIT,ETC,0,
2026-09-12 19:43:20,SKT 다이렉트,기본 판매 대금(매각 대금)이 1만 원 미만인 경우 특별 보상금이 제공되지 않습니다.,https://shop.tworld.co.kr/nf/index_nf_yp_plan.html?exhibitionId=P00000472,"iPhone 17 Pro & iPhone Air & iPhone 17기다림은 짧게, 혜택은 특별하게, T 다이렉트샵",0,NO_BENEFIT,ETC,0,
2026-09-12 19:43:20,SKT 다이렉트,T 다이렉트샵 특별 보상은 주문 완료하신 고객님 중 선착순 300명에 한해 최대 15만 원을 추가로 드리는,https://shop.tworld.co.kr/nf/index_nf_yp_plan.html?exhibitionId=P00000472,"iPhone 17 Pro & iPhone Air & iPhone 17기다림은 짧게, 혜택은 특별하게, T 다이렉트샵",0,NO_BENEFIT,ETC,0,
2026-09-12 19:43:20,SKT 다이렉트,"월 48,000원 - 월 33,000원 (5개월",https://shop.tworld.co.kr/nf/index_nf_yp_plan.html?exhibitionId=P00000326,"월 1만 원대부터 쓰는 5G USIM 요금제통신비 고민, 티다에서 해결!",0,NO_BENEFIT,ETC,0,
2026-09-12 19:43:20,SKT 다이렉트,"프로모션 혜택으로 제공되는 '티빙 광고형 스탠다드' 구독권은 '티빙 스탠다드' 또는 '티빙 프리미엄'으로 변경하실 수 있습니다. 이 경우 최대 6,500원 할인 후, 차액에 따른 추가 요금이 발생합니다.",https://shop.tworld.co.kr/nf/index_nf_yp_plan.html?exhibitionId=P00000478,인터넷 + B tv와 함께 휴대폰 USIM 변경하기한 번에 이동하면 혜택이 더 커져요!,0,NO_BENEFIT,ETC,0,
2026-09-12 19:43:20,SKT 다이렉트,"기본으로 제공되는 '티빙 광고형 스탠다드' 구독권은 '티빙 스탠다드' 또는 '티빙 프리미엄'으로 변경하실 수 있으며, 이 경우 최대 6,500원까지 할인 후 차액에 따른 추가 요금이 발생합니다.",https://shop.tworld.co.kr/nf/index_nf_yp_plan.html?exhibitionId=P00000496,갤럭시 S26 자급제 구매하셨다면USIM 가입 시 드리는 혜택 확인하세요,0,NO_BENEFIT,ETC,0,
2026-09-12 19:43:20,KTM 모바일,"5만원 초과 경품 당첨 고객은 제세공과금(22%) 신고를 위해 개인정보 수집·이용 동의가 필요합니다. 이벤트 응모 시 가입한 휴대폰 번호로 동의 문자가 발송되며, 기간 내 미동의 시 당첨이 자동 취소됩니다.",https://www.ktmmobile.com/event/eventDetail.do?ntcartSeq=1856,"[자급제] 매월 3만원x8개월, 9월 최대 혜택 49만원!",0,NO_BENEFIT,ETC,0,
2026-09-12 19:43:20,KTM 모바일,혜택 내용 : M마켓 포인트 24만원,https://www.ktmmobile.com/event/eventDetail.do?ntcartSeq=1856,"[자급제] 매월 3만원x8개월, 9월 최대 혜택 49만원!",0,NO_BENEFIT,ETC,0,
2026-09-12 19:43:20,KTM 모바일,"대상 요금제 : 5,000원 이상 요금제",https://www.ktmmobile.com/event/eventDetail.do?ntcartSeq=1856,"[자급제] 매월 3만원x8개월, 9월 최대 혜택 49만원!",0,NO_BENEFIT,ETC,0,
2026-09-12 19:43:20,KTM 모바일,"※ 제외 요금제 : 단말 요금제, 데이터 년 9GB, LTE 스마트워치, 5천원 미만 요금제",https://www.ktmmobile.com/event/eventDetail.do?ntcartSeq=1856,"[자급제] 매월 3만원x8개월, 9월 최대 혜택 49만원!",0,NO_BENEFIT,ETC,0,
2026-09-12 19:43:20,KTM 모바일,혜택 내용 : M마켓 포인트 6만원 · 12만원 · 16만원 · 20만원,https://www.ktmmobile.com/event/eventDetail.do?ntcartSeq=1856,"[자급제] 매월 3만원x8개월, 9월 최대 혜택 49만원!",0,NO_BENEFIT,ETC,0,
2026-09-12 19:43:20,KTM 모바일,"5,000원 이상 ~ 10,000원 미만",https://www.ktmmobile.com/event/eventDetail.do?ntcartSeq=1856,"[자급제] 매월 3만원x8개월, 9월 최대 혜택 49만원!",0,NO_BENEFIT,ETC,0,
2026-09-12 19:43:20,KTM 모바일,"10,000원 이상 ~ 16,000원 미만",https://www.ktmmobile.com/event/eventDetail.do?ntcartSeq=1856,"[자급제] 매월 3만원x8개월, 9월 최대 혜택 49만원!",0,NO_BENEFIT,ETC,0,
2026-09-12 19:43:20,KTM 모바일,"16,000원 이상 ~ 20,000원 미만",https://www.ktmmobile.com/event/eventDetail.do?ntcartSeq=1856,"[자급제] 매월 3만원x8개월, 9월 최대 혜택 49만원!",0,NO_BENEFIT,ETC,0,
